region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023,5/31/2023
394913,1,New York,NY,"$2,806.21 ","$3,322.35 ","$2,807.47 ","$2,545.46 ","$2,550.35 ","$2,608.29 ","$2,753.94 ","$2,928.70 ","$3,047.40 ","$3,144.87 ","$3,221.95 ","$3,259.94 ","$3,301.45 ","$3,330.41 ","$3,335.93 "
753899,2,Los Angeles,CA,"$2,605.36 ","$2,953.67 ","$2,379.23 ","$2,390.88 ","$2,416.39 ","$2,474.83 ","$2,593.86 ","$2,708.98 ","$2,792.97 ","$2,869.97 ","$2,904.67 ","$2,921.36 ","$2,946.62 ","$2,956.45 ","$2,954.41 "
394463,3,Chicago,IL,"$1,724.03 ","$1,804.97 ","$1,682.69 ","$1,666.31 ","$1,666.14 ","$1,715.95 ","$1,774.09 ","$1,822.69 ","$1,867.97 ","$1,903.28 ","$1,935.64 ","$1,974.03 ","$2,008.68 ","$2,024.72 ","$2,030.43 "
394514,4,Dallas,TX,"$1,418.77 ","$1,413.49 ","$1,404.39 ","$1,427.87 ","$1,460.37 ","$1,514.28 ","$1,598.54 ","$1,678.09 ","$1,732.31 ","$1,777.50 ","$1,803.93 ","$1,812.62 ","$1,829.13 ","$1,836.82 ","$1,832.29 "
394692,5,Houston,TX,"$1,414.69 ","$1,400.98 ","$1,386.61 ","$1,404.63 ","$1,415.22 ","$1,455.67 ","$1,522.75 ","$1,568.51 ","$1,600.15 ","$1,625.87 ","$1,634.47 ","$1,646.77 ","$1,670.85 ","$1,683.35 ","$1,685.80 "
395209,6,Washington,VA,"$2,010.80 ","$2,105.45 ","$2,070.35 ","$1,931.26 ","$1,940.60 ","$1,985.62 ","$2,069.87 ","$2,146.36 ","$2,187.12 ","$2,222.99 ","$2,243.33 ","$2,262.85 ","$2,294.85 ","$2,313.43 ","$2,316.99 "
394974,7,Philadelphia,PA,"$1,552.61 ","$1,549.12 ","$1,547.01 ","$1,560.60 ","$1,576.84 ","$1,613.99 ","$1,671.00 ","$1,729.56 ","$1,770.66 ","$1,802.47 ","$1,822.51 ","$1,833.73 ","$1,851.71 ","$1,862.39 ","$1,864.44 "
394856,8,Miami,FL,"$1,881.68 ","$1,874.21 ","$1,866.98 ","$1,898.13 ","$1,968.95 ","$2,086.89 ","$2,281.71 ","$2,460.92 ","$2,612.28 ","$2,718.65 ","$2,766.96 ","$2,803.59 ","$2,822.79 ","$2,832.20 ","$2,829.41 "
394347,9,Atlanta,GA,"$1,445.34 ","$1,448.43 ","$1,457.49 ","$1,498.98 ","$1,552.60 ","$1,630.28 ","$1,734.80 ","$1,820.07 ","$1,865.94 ","$1,902.49 ","$1,920.52 ","$1,934.77 ","$1,967.80 ","$1,987.55 ","$1,990.64 "
394404,10,Boston,MA,"$2,563.42 ","$2,863.86 ","$2,590.15 ","$2,377.34 ","$2,407.16 ","$2,487.32 ","$2,582.06 ","$2,691.93 ","$2,742.75 ","$2,790.29 ","$2,856.16 ","$2,919.37 ","$2,976.41 ","$3,017.30 ","$3,025.75 "
