region_id,size_rank,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023,5/31/2023
9,0,California,"$560,900.75 ","$565,058.40 ","$569,383.59 ","$597,050.94 ","$625,395.48 ","$653,080.78 ","$682,664.93 ","$701,271.23 ","$732,191.05 ","$769,686.71 ","$771,944.82 ","$753,553.23 ","$737,466.54 ","$734,612.39 ","$737,900.26 "
54,1,Texas,"$214,700.15 ","$216,994.45 ","$219,575.09 ","$226,551.19 ","$235,262.64 ","$246,856.46 ","$259,209.07 ","$268,488.13 ","$282,476.61 ","$299,228.74 ","$307,395.71 ","$305,068.49 ","$301,971.28 ","$301,970.57 ","$302,332.60 "
14,2,Florida,"$251,703.99 ","$254,808.33 ","$257,648.94 ","$266,582.23 ","$277,688.27 ","$291,656.25 ","$310,320.71 ","$326,453.62 ","$347,927.23 ","$375,134.66 ","$390,436.15 ","$390,125.08 ","$386,570.45 ","$386,542.06 ","$387,536.88 "
43,3,New York,"$334,588.87 ","$338,939.11 ","$341,426.61 ","$350,903.90 ","$364,787.36 ","$378,141.86 ","$389,683.47 ","$397,785.00 ","$408,230.26 ","$423,520.14 ","$432,175.74 ","$428,824.28 ","$427,932.22 ","$433,396.89 ","$436,745.11 "
47,4,Pennsylvania,"$189,456.61 ","$193,134.50 ","$195,909.26 ","$203,880.00 ","$212,804.38 ","$221,670.70 ","$227,572.96 ","$227,645.24 ","$234,932.07 ","$246,167.51 ","$249,564.55 ","$249,173.54 ","$251,024.83 ","$253,205.77 ","$254,722.09 "
21,5,Illinois,"$188,344.20 ","$190,960.83 ","$191,811.83 ","$197,797.29 ","$205,304.09 ","$212,761.82 ","$219,541.68 ","$223,480.35 ","$231,671.80 ","$241,777.52 ","$243,494.70 ","$241,379.13 ","$243,120.06 ","$245,960.41 ","$247,384.41 "
44,6,Ohio,"$155,516.70 ","$158,559.08 ","$161,533.36 ","$168,891.40 ","$176,407.69 ","$183,930.18 ","$188,815.20 ","$189,208.47 ","$195,627.44 ","$205,873.24 ","$210,566.51 ","$210,506.63 ","$212,012.01 ","$214,309.04 ","$215,956.17 "
16,7,Georgia,"$208,216.48 ","$211,688.08 ","$214,990.99 ","$224,389.07 ","$235,934.53 ","$249,146.93 ","$262,153.38 ","$273,210.87 ","$290,949.15 ","$310,039.49 ","$318,763.27 ","$317,304.89 ","$315,521.49 ","$316,578.92 ","$317,788.85 "
36,8,North Carolina,"$211,094.08 ","$215,179.30 ","$219,325.57 ","$229,113.13 ","$240,341.60 ","$253,211.44 ","$266,212.35 ","$274,217.71 ","$288,903.75 ","$309,936.48 ","$320,839.21 ","$319,995.50 ","$319,213.86 ","$321,614.83 ","$323,486.54 "
30,9,Michigan,"$167,954.69 ","$171,547.76 ","$173,507.00 ","$180,309.65 ","$188,876.87 ","$198,735.88 ","$205,459.19 ","$206,136.58 ","$213,079.22 ","$224,554.28 ","$226,911.33 ","$224,192.70 ","$226,218.22 ","$229,449.63 ","$230,929.27 "
