region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
394913,1,New York,NY,0.19,0.22,0.28,0.38,0.38,0.41,0.51,0.48,0.44,0.51,0.58,0.46,0.36,0.38
753899,2,Los Angeles,CA,0.36,0.42,0.42,0.50,0.53,0.64,0.69,0.66,0.67,0.75,0.58,0.38,0.33,0.42
394463,3,Chicago,IL,0.14,0.17,0.21,0.26,0.27,0.38,0.48,0.39,0.35,0.51,0.51,0.32,0.27,0.35
394514,4,Dallas,TX,0.18,0.23,0.27,0.31,0.36,0.57,0.65,0.55,0.56,0.71,0.55,0.27,0.20,0.27
394692,5,Houston,TX,0.13,0.16,0.18,0.20,0.23,0.29,0.42,0.37,0.38,0.50,0.42,0.21,0.16,0.20
395209,6,Washington,VA,0.28,0.37,0.40,0.47,0.48,0.61,0.59,0.48,0.49,0.65,0.51,0.34,0.31,0.44
394974,7,Philadelphia,PA,0.19,0.25,0.29,0.37,0.37,0.44,0.53,0.48,0.45,0.53,0.56,0.43,0.34,0.39
394856,8,Miami,FL,0.08,0.08,0.10,0.14,0.14,0.19,0.28,0.27,0.29,0.39,0.35,0.19,0.13,0.13
394347,9,Atlanta,GA,0.17,0.23,0.26,0.32,0.36,0.51,0.57,0.52,0.52,0.62,0.52,0.29,0.22,0.28
394404,10,Boston,MA,0.31,0.44,0.48,0.54,0.51,0.64,0.70,0.61,0.58,0.73,0.69,0.50,0.41,0.50
394976,11,Phoenix,AZ,0.21,0.26,0.32,0.39,0.41,0.57,0.59,0.49,0.47,0.57,0.34,0.15,0.13,0.16
395057,12,San Francisco,CA,0.52,0.60,0.55,0.65,0.65,0.79,0.82,0.76,0.77,0.85,0.62,0.43,0.39,0.54
395025,13,Riverside,CA,0.31,0.36,0.41,0.51,0.55,0.65,0.69,0.63,0.62,0.68,0.52,0.34,0.29,0.34
394532,14,Detroit,MI,0.18,0.24,0.32,0.36,0.35,0.50,0.59,0.48,0.43,0.58,0.55,0.35,0.28,0.35
395078,15,Seattle,WA,0.40,0.55,0.52,0.56,0.62,0.77,0.72,0.63,0.70,0.79,0.44,0.24,0.26,0.41
394865,16,Minneapolis,MN,0.33,0.46,0.50,0.54,0.52,0.66,0.70,0.57,0.52,0.68,0.62,0.40,0.31,0.42
395056,17,San Diego,CA,0.30,0.38,0.41,0.49,0.53,0.65,0.67,0.62,0.67,0.74,0.51,0.33,0.32,0.44
395148,18,Tampa,FL,0.14,0.16,0.20,0.25,0.25,0.37,0.48,0.44,0.45,0.57,0.44,0.21,0.16,0.17
394530,19,Denver,CO,0.25,0.37,0.38,0.44,0.52,0.72,0.71,0.57,0.61,0.77,0.48,0.23,0.23,0.36
394358,20,Baltimore,MD,0.20,0.25,0.30,0.35,0.37,0.45,0.53,0.47,0.45,0.57,0.56,0.41,0.35,0.42
395121,21,St. Louis,MO,0.21,0.30,0.38,0.42,0.39,0.53,0.60,0.51,0.50,0.63,0.60,0.45,0.35,0.43
394943,22,Orlando,FL,0.14,0.17,0.18,0.20,0.20,0.24,0.36,0.41,0.41,0.54,0.44,0.21,0.15,0.18
394458,23,Charlotte,NC,0.21,0.26,0.30,0.37,0.41,0.55,0.60,0.54,0.53,0.67,0.54,0.29,0.21,0.30
395055,24,San Antonio,TX,0.18,0.22,0.28,0.31,0.32,0.49,0.59,0.48,0.47,0.58,0.46,0.23,0.18,0.20
394998,25,Portland,OR,0.31,0.44,0.47,0.52,0.55,0.70,0.69,0.58,0.58,0.71,0.51,0.30,0.28,0.39
395045,26,Sacramento,CA,0.35,0.43,0.45,0.56,0.61,0.74,0.73,0.63,0.62,0.71,0.47,0.30,0.28,0.39
394982,27,Pittsburgh,PA,0.17,0.22,0.29,0.31,0.27,0.42,0.48,0.38,0.33,0.47,0.46,0.29,0.22,0.28
394466,28,Cincinnati,OH,0.17,0.26,0.34,0.38,0.34,0.46,0.54,0.45,0.42,0.57,0.54,0.37,0.29,0.39
394355,29,Austin,TX,0.23,0.33,0.33,0.41,0.55,0.73,0.71,0.52,0.53,0.68,0.41,0.15,0.12,0.16
394775,30,Las Vegas,NV,0.16,0.19,0.18,0.21,0.25,0.34,0.54,0.45,0.45,0.55,0.35,0.17,0.15,0.18
394735,31,Kansas City,MO,0.24,0.35,0.43,0.44,0.43,0.60,0.62,0.50,0.50,0.66,0.58,0.38,0.32,0.43
394492,32,Columbus,OH,0.24,0.36,0.45,0.50,0.45,0.61,0.67,0.58,0.54,0.68,0.65,0.43,0.35,0.46
394705,34,Indianapolis,IN,0.15,0.23,0.31,0.33,0.31,0.48,0.56,0.51,0.47,0.57,0.52,0.30,0.19,0.26
394475,35,Cleveland,OH,0.19,0.27,0.39,0.42,0.36,0.51,0.60,0.49,0.45,0.60,0.60,0.40,0.30,0.38
395059,36,San Jose,CA,0.41,0.52,0.42,0.49,0.56,0.67,0.68,0.66,0.74,0.75,0.46,0.29,0.28,0.40
