region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
394913,1,New York,NY,0.70,0.66,0.59,0.49,0.49,0.47,0.37,0.39,0.43,0.37,0.31,0.41,0.51,0.51
753899,2,Los Angeles,CA,0.51,0.45,0.45,0.37,0.35,0.25,0.21,0.23,0.23,0.16,0.31,0.50,0.55,0.45
394463,3,Chicago,IL,0.77,0.72,0.67,0.61,0.61,0.50,0.39,0.47,0.51,0.36,0.36,0.53,0.59,0.51
394514,4,Dallas,TX,0.62,0.56,0.52,0.48,0.44,0.28,0.21,0.28,0.27,0.18,0.30,0.53,0.61,0.52
394692,5,Houston,TX,0.69,0.65,0.62,0.60,0.59,0.44,0.37,0.44,0.44,0.34,0.40,0.59,0.65,0.60
395209,6,Washington,VA,0.45,0.36,0.34,0.29,0.29,0.20,0.20,0.28,0.28,0.17,0.27,0.40,0.42,0.32
394974,7,Philadelphia,PA,0.61,0.54,0.48,0.41,0.41,0.35,0.28,0.32,0.36,0.30,0.28,0.38,0.47,0.42
394856,8,Miami,FL,0.80,0.78,0.76,0.73,0.72,0.65,0.55,0.54,0.53,0.44,0.47,0.63,0.72,0.71
394347,9,Atlanta,GA,0.61,0.54,0.51,0.46,0.44,0.32,0.27,0.32,0.32,0.25,0.30,0.49,0.55,0.48
394404,10,Boston,MA,0.57,0.45,0.40,0.36,0.39,0.27,0.22,0.28,0.31,0.20,0.23,0.39,0.47,0.39
394976,11,Phoenix,AZ,0.53,0.47,0.43,0.37,0.35,0.23,0.22,0.29,0.31,0.23,0.41,0.62,0.66,0.61
395057,12,San Francisco,CA,0.38,0.30,0.34,0.27,0.27,0.15,0.13,0.17,0.16,0.10,0.29,0.47,0.50,0.36
395025,13,Riverside,CA,0.52,0.47,0.42,0.33,0.30,0.21,0.18,0.22,0.23,0.19,0.32,0.48,0.53,0.48
394532,14,Detroit,MI,0.66,0.60,0.52,0.48,0.49,0.36,0.28,0.37,0.42,0.29,0.31,0.48,0.56,0.49
395078,15,Seattle,WA,0.39,0.25,0.27,0.25,0.23,0.11,0.13,0.19,0.16,0.09,0.33,0.51,0.53,0.37
394865,16,Minneapolis,MN,0.47,0.35,0.31,0.28,0.31,0.20,0.16,0.25,0.30,0.18,0.22,0.39,0.48,0.39
395056,17,San Diego,CA,0.58,0.48,0.46,0.38,0.33,0.23,0.21,0.26,0.21,0.16,0.35,0.54,0.54,0.43
395148,18,Tampa,FL,0.69,0.64,0.60,0.56,0.54,0.41,0.32,0.36,0.36,0.28,0.38,0.59,0.66,0.64
394530,19,Denver,CO,0.52,0.40,0.38,0.34,0.29,0.16,0.15,0.24,0.23,0.12,0.31,0.52,0.54,0.42
394358,20,Baltimore,MD,0.53,0.47,0.42,0.36,0.35,0.27,0.22,0.27,0.31,0.22,0.23,0.33,0.38,0.33
395121,21,St. Louis,MO,0.62,0.52,0.45,0.41,0.44,0.32,0.26,0.33,0.35,0.25,0.25,0.38,0.46,0.41
394943,22,Orlando,FL,0.68,0.63,0.61,0.59,0.60,0.49,0.36,0.40,0.39,0.30,0.37,0.57,0.64,0.60
394458,23,Charlotte,NC,0.65,0.58,0.53,0.47,0.42,0.28,0.26,0.31,0.32,0.22,0.32,0.54,0.61,0.53
395055,24,San Antonio,TX,0.60,0.55,0.50,0.47,0.47,0.33,0.25,0.33,0.34,0.27,0.35,0.54,0.60,0.56
394998,25,Portland,OR,0.47,0.35,0.33,0.28,0.28,0.17,0.18,0.25,0.26,0.16,0.30,0.47,0.50,0.40
395045,26,Sacramento,CA,0.48,0.39,0.38,0.29,0.26,0.16,0.16,0.24,0.25,0.19,0.37,0.54,0.56,0.46
394982,27,Pittsburgh,PA,0.67,0.60,0.52,0.51,0.54,0.42,0.36,0.44,0.49,0.37,0.37,0.52,0.60,0.56
394466,28,Cincinnati,OH,0.66,0.56,0.48,0.44,0.47,0.38,0.30,0.37,0.40,0.28,0.30,0.44,0.53,0.44
394355,29,Austin,TX,0.60,0.48,0.47,0.40,0.30,0.15,0.16,0.30,0.29,0.19,0.40,0.68,0.74,0.68
394775,30,Las Vegas,NV,0.63,0.58,0.57,0.54,0.51,0.33,0.27,0.33,0.34,0.26,0.41,0.61,0.64,0.62
394735,31,Kansas City,MO,0.55,0.43,0.37,0.35,0.35,0.24,0.22,0.31,0.32,0.20,0.25,0.40,0.47,0.37
394492,32,Columbus,OH,0.57,0.46,0.37,0.34,0.38,0.26,0.20,0.27,0.31,0.20,0.22,0.40,0.47,0.36
394705,34,Indianapolis,IN,0.65,0.55,0.48,0.44,0.48,0.34,0.26,0.31,0.35,0.26,0.29,0.48,0.60,0.53
394475,35,Cleveland,OH,0.68,0.57,0.46,0.44,0.48,0.35,0.27,0.37,0.41,0.29,0.28,0.45,0.55,0.48
395059,36,San Jose,CA,0.51,0.39,0.47,0.41,0.36,0.26,0.24,0.26,0.19,0.18,0.45,0.61,0.63,0.51
394902,37,Nashville,TN,0.57,0.54,0.48,0.41,0.40,0.28,0.23,0.28,0.30,0.21,0.33,0.56,0.64,0.58
395194,38,Virginia Beach,VA,0.64,0.62,0.57,0.39,0.34,0.23,0.17,0.21,0.21,0.14,0.17,0.27,0.32,0.28
395005,39,Providence,RI,0.59,0.49,0.39,0.30,0.33,0.27,0.22,0.28,0.30,0.21,0.24,0.39,0.44,0.39
394714,40,Jacksonville,FL,0.68,0.63,0.60,0.56,0.53,0.38,0.33,0.38,0.40,0.31,0.38,0.60,0.67,0.64
394862,41,Milwaukee,WI,0.59,0.47,0.36,0.35,0.46,0.26,0.21,0.30,0.35,0.20,0.20,0.38,0.46,0.37
394935,42,Oklahoma City,OK,0.55,0.48,0.44,0.42,0.42,0.32,0.26,0.32,0.34,0.26,0.28,0.43,0.50,0.46
395012,43,Raleigh,NC,0.56,0.46,0.42,0.37,0.35,0.19,0.14,0.19,0.22,0.14,0.26,0.52,0.63,0.52
394849,44,Memphis,TN,0.52,0.46,0.42,0.40,0.39,0.33,0.30,0.33,0.29,0.24,0.32,0.45,0.50,0.50
395022,45,Richmond,VA,0.51,0.41,0.36,0.31,0.30,0.20,0.17,0.24,0.23,0.13,0.18,0.32,0.38,0.32
394807,46,Louisville,KY,0.64,0.56,0.50,0.46,0.47,0.37,0.31,0.38,0.42,0.32,0.36,0.49,0.54,0.48
394910,47,New Orleans,LA,0.68,0.63,0.62,0.59,0.56,0.49,0.46,0.50,0.52,0.45,0.51,0.63,0.66,0.67
395053,48,Salt Lake City,UT,0.48,0.40,0.37,0.33,0.28,0.16,0.18,0.28,0.26,0.17,0.37,0.56,0.59,0.49
