region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
394913,1,New York,NY,62,59,58,63,63,66,71,72,70,66,66,59,60,56
753899,2,Los Angeles,CA,33,32,32,34,34,31,30,30,31,28,29,29,29,28
394463,3,Chicago,IL,47,50,51,57,59,54,55,51,51,46,46,44,43,40
394514,4,Dallas,TX,23,25,26,26,26,24,24,24,24,26,29,29,29,29
394692,5,Houston,TX,32,34,36,37,36,35,34,33,33,31,30,29,29,29
395209,6,Washington,VA,41,38,37,35,39,35,35,36,37,32,33,34,35,31
394974,7,Philadelphia,PA,50,51,50,50,58,57,57,53,62,53,50,47,46,42
394856,8,Miami,FL,41,41,42,45,39,42,46,43,44,42,41,40,38,37
394347,9,Atlanta,GA,31,30,31,31,31,31,30,29,32,31,31,30,30,29
394404,10,Boston,MA,46,46,45,46,47,45,46,44,45,41,42,42,41,39
394976,11,Phoenix,AZ,29,30,30,30,29,28,28,28,28,27,27,26,26,26
395057,12,San Francisco,CA,28,28,28,29,29,28,28,27,27,25,25,25,25,23
395025,13,Riverside,CA,33,33,35,37,36,33,33,32,32,29,29,29,29,29
394532,14,Detroit,MI,42,43,45,47,44,42,43,45,47,38,38,37,35,30
395078,15,Seattle,WA,32,31,32,32,32,30,30,30,30,28,29,29,29,28
394865,16,Minneapolis,MN,38,36,38,40,39,38,40,38,37,34,36,34,32,31
395056,17,San Diego,CA,31,27,30,30,30,29,28,28,27,24,26,26,26,25
395148,18,Tampa,FL,37,39,41,42,39,38,38,37,37,36,36,37,35,35
394530,19,Denver,CO,35,35,35,36,34,32,32,32,31,29,30,31,31,30
394358,20,Baltimore,MD,47,46,46,43,51,47,49,52,51,44,44,46,49,43
395121,21,St. Louis,MO,40,44,47,47,45,40,42,41,40,36,36,36,36,34
394943,22,Orlando,FL,39,40,41,42,41,41,41,40,40,37,36,36,34,34
394458,23,Charlotte,NC,38,37,38,38,36,35,35,35,35,32,33,33,33,32
395055,24,San Antonio,TX,23,24,26,26,28,33,33,33,33,30,30,29,29,29
394998,25,Portland,OR,33,33,33,35,34,31,31,31,31,29,29,29,29,29
395045,26,Sacramento,CA,30,30,30,31,30,28,28,28,27,24,25,26,26,25
394982,27,Pittsburgh,PA,46,48,48,47,49,45,45,46,47,45,45,43,42,40
394466,28,Cincinnati,OH,42,42,44,46,48,43,45,44,42,39,41,39,37,34
394355,29,Austin,TX,32,32,33,34,32,31,29,28,29,26,25,25,25,24
394775,30,Las Vegas,NV,32,32,33,35,28,32,31,31,30,29,29,28,28,28
394735,31,Kansas City,MO,37,38,39,40,37,35,35,35,34,31,32,32,32,31
394492,32,Columbus,OH,41,43,44,45,45,44,48,43,40,36,36,36,36,34
394705,34,Indianapolis,IN,39,39,41,42,41,39,41,41,39,37,39,38,35,35
394475,35,Cleveland,OH,27,34,36,39,37,40,40,39,38,36,36,35,35,34
395059,36,San Jose,CA,29,30,30,31,28,30,30,27,26,28,28,28,28,27
394902,37,Nashville,TN,31,30,31,28,23,35,35,35,37,34,34,33,33,32
395194,38,Virginia Beach,VA,44,41,40,31,32,26,29,28,28,27,27,26,25,24
395005,39,Providence,RI,40,42,43,45,43,43,43,44,44,41,41,41,40,38
394714,40,Jacksonville,FL,38,38,41,43,42,42,44,42,41,40,37,35,28,28
394862,41,Milwaukee,WI,25,26,30,28,27,26,27,28,28,26,27,24,25,24
394935,42,Oklahoma City,OK,36,37,39,43,45,43,39,39,39,36,35,34,34,34
395012,43,Raleigh,NC,38,37,38,38,37,34,34,33,33,31,33,32,33,32
394849,44,Memphis,TN,38,38,39,41,43,39,36,26,32,31,31,29,28,29
395022,45,Richmond,VA,35,40,41,41,41,37,37,37,36,33,34,34,34,32
394807,46,Louisville,KY,40,40,43,44,40,39,40,39,38,35,35,35,33,32
394910,47,New Orleans,LA,37,39,40,43,42,40,40,43,37,36,35,34,34,33
395053,48,Salt Lake City,UT,29,29,31,30,25,26,26,27,27,23,25,25,25,25
394669,49,Hartford,CT,46,46,47,48,45,45,47,44,44,42,43,42,43,39
394425,50,Buffalo,NY,61,63,63,70,74,66,66,70,72,63,64,65,63,60
394388,51,Birmingham,AL,36,37,39,40,38,38,37,35,34,32,32,31,31,30
395031,52,Rochester,NY,49,50,52,55,56,53,56,56,56,49,52,49,49,44
394640,53,Grand Rapids,MI,40,36,36,43,42,36,37,38,38,33,35,35,35,33
395167,54,Tucson,AZ,35,37,38,38,36,36,35,35,34,31,31,30,30,31
753924,55,Urban Honolulu,HI,29,29,29,29,29,42,43,42,40,40,39,38,34,31
395169,56,Tulsa,OK,36,36,39,41,40,36,39,39,39,36,35,34,34,33
394619,57,Fresno,CA,32,31,35,39,38,34,34,31,33,30,29,29,29,28
395238,58,Worcester,MA,45,45,47,48,48,45,46,45,46,42,41,43,41,40
394938,59,Omaha,NE,33,39,39,35,35,37,36,36,34,33,35,34,32,31
394415,60,Bridgeport,CT,50,52,51,54,51,52,55,50,51,48,49,47,47,44
394653,61,Greenville,SC,39,40,42,43,38,39,40,39,38,35,36,34,34,34
394312,62,Albuquerque,NM,39,40,40,42,41,38,38,38,38,35,34,34,34,33
394357,63,Bakersfield,CA,39,39,42,41,33,39,39,38,37,34,31,31,31,31
394308,64,Albany,NY,58,58,60,67,68,64,67,72,70,63,63,63,63,59
394753,65,Knoxville,TN,38,39,39,41,41,38,39,38,39,35,35,34,34,33
394367,66,Baton Rouge,LA,37,38,39,41,41,36,40,39,35,34,33,32,33,33
394843,67,McAllen,TX,15,27,33,34,35,33,33,33,32,30,29,26,24,22
394908,68,New Haven,CT,48,49,50,52,49,49,51,49,49,45,46,45,44,42
394561,69,El Paso,TX,28,28,28,28,50,48,38,45,45,40,38,37,30,33
394318,70,Allentown,PA,54,48,44,42,42,45,47,47,46,43,44,43,42,39
394952,71,Oxnard,CA,33,33,33,34,34,31,31,31,31,29,29,29,29,28
394486,72,Columbia,SC,38,39,44,43,41,37,40,38,40,38,35,34,31,31
753906,73,North Port,FL,38,40,41,43,41,41,39,38,38,36,36,37,35,35
845158,74,Dayton,OH,44,46,50,52,61,51,53,53,54,49,55,49,46,41
394457,75,Charleston,SC,42,43,45,47,47,43,44,43,43,40,39,39,38,36
394648,76,Greensboro,NC,38,38,39,39,39,36,37,36,36,32,33,33,33,33
395134,77,Stockton,CA,31,32,34,35,34,31,31,31,30,28,28,27,27,27
394440,78,Cape Coral,FL,39,41,43,45,42,42,42,38,37,36,36,36,34,34
394399,79,Boise City,ID,24,24,24,24,24,25,29,30,30,28,28,28,28,28
394484,80,Colorado Springs,CO,33,32,33,31,31,31,32,32,32,30,31,31,31,31
394798,81,Little Rock,AR,39,36,38,32,42,57,27,33,33,32,32,29,28,28
394766,82,Lakeland,FL,39,39,42,44,41,40,42,41,41,37,36,38,36,36
394304,83,Akron,OH,28,32,34,36,33,37,38,38,37,34,34,33,32,32
394531,84,Des Moines,IA,40,41,44,46,44,43,44,42,42,42,41,38,37,38
395115,85,Springfield,MA,45,45,47,48,48,46,48,46,46,43,41,43,43,41
845159,86,Poughkeepsie,NY,36,36,36,36,35,49,56,58,60,58,54,53,52,49
394931,87,Ogden,UT,29,30,31,31,23,27,27,28,27,25,26,26,27,27
394816,88,Madison,WI,29,35,39,38,38,36,38,36,34,34,36,33,30,31
395235,89,Winston,NC,38,38,39,39,39,36,38,36,36,34,34,33,33,32
394528,90,Deltona,FL,39,39,41,42,39,38,39,39,38,37,37,37,34,34
395143,91,Syracuse,NY,58,60,61,68,71,65,67,68,67,61,63,62,62,60
395006,92,Provo,UT,29,30,31,32,23,27,27,27,27,25,26,25,26,26
395160,93,Toledo,OH,39,40,43,43,43,40,41,43,41,36,36,38,37,35
